ID,wave,crs01,crs02,crs04,crs06,crs16,crs22,crs24,crs25,crs27
7159,6,6,4,4,2,0,0,4,2,3
7160,6,6,4,6,6,1,0,5,5,5
7161,6,6,2,6,6,0,0,6,6,6
7162,6,6,2,6,6,0,0,6,6,6
7163,6,4,6,6,4,2,0,6,4,6
7164,6,6,6,5,4,0,0,6,5,5
7165,6,6,4,6,4,0,0,4,5,5
7166,6,6,6,6,6,0,0,6,6,6
7167,6,6,2,6,6,0,0,4,6,6
7168,6,6,4,6,4,0,2,6,4,2
7169,6,6,4,6,4,2,0,6,6,6
7170,6,4,5,4,4,1,1,6,4,5
7171,6,6,2,6,6,0,0,6,6,6
7172,6,6,6,6,6,0,0,6,6,6
7173,6,6,6,6,6,0,0,6,6,6
7174,6,6,6,6,6,0,0,6,6,6
7175,6,6,5,5,6,0,0,6,6,6
7176,6,6,6,6,5,0,0,5,6,6
7177,6,5,5,5,6,1,1,5,5,5
7178,6,6,5,6,5,0,0,6,6,6
7179,6,4,6,6,6,4,0,6,6,6
7180,6,6,6,6,6,0,0,6,6,6
7181,6,6,0,6,4,0,0,6,6,6
7182,6,5,3,4,3,0,1,6,5,5
7183,6,5,6,5,6,0,0,6,6,6
7184,6,6,6,6,6,0,0,6,6,6
7185,6,6,6,6,6,0,0,6,6,6
7186,6,6,6,6,6,2,1,5,6,6
7187,6,5,4,6,5,0,0,5,6,6
7188,6,6,6,6,5,0,0,6,3,6
7189,6,6,4,6,5,0,0,6,5,6
7190,6,6,6,6,6,0,0,6,6,6
7191,6,6,6,6,6,0,0,6,6,6
7192,6,4,6,6,6,0,0,6,6,6
7193,6,6,5,6,5,0,0,6,6,5
7194,6,6,3,6,6,0,0,6,4,4
7195,6,6,5,5,5,0,0,6,6,5
7196,6,6,5,6,4,0,0,4,5,4
7197,6,6,5,5,6,2,1,6,4,5
7198,6,6,6,6,6,0,0,6,6,6
7199,6,6,4,6,6,0,0,6,6,6
7200,6,6,5,6,6,0,0,6,6,6
7201,6,5,1,6,6,0,0,6,5,4
7202,6,6,5,6,5,0,0,6,6,6
7203,6,6,6,4,4,0,0,6,6,6
7204,6,5,5,4,5,0,0,5,5,4
7205,6,6,3,6,6,0,0,6,6,6
7206,6,6,6,6,6,0,0,6,6,6
7207,6,6,6,6,6,0,0,6,6,6
7208,6,6,6,6,6,0,0,6,6,6
7209,6,6,5,6,5,0,0,6,6,6
7210,6,6,6,6,6,1,0,6,5,5
7211,6,6,5,6,6,0,0,6,6,6
7212,6,6,4,6,6,1,0,6,6,6
7213,6,6,4,6,5,1,0,5,5,5
7214,6,6,6,6,4,0,0,6,5,1
7215,6,6,6,6,6,0,0,6,6,6
7216,6,6,6,6,6,0,2,6,6,6
7217,6,6,4,6,6,0,0,6,6,6
7218,6,6,6,6,6,1,1,6,6,6
7219,6,6,6,6,6,1,0,6,6,6
7220,6,6,5,6,6,0,0,6,5,5
7221,6,6,4,6,4,2,1,4,4,4
7222,6,6,6,4,4,0,0,4,4,4
7223,6,6,6,6,6,0,0,6,6,6
7224,6,6,6,6,6,0,0,6,6,6
7225,6,6,4,6,6,0,0,6,6,6
7226,6,6,6,6,6,0,0,6,6,6
7227,6,6,6,6,6,2,0,6,6,6
7228,6,6,6,6,6,0,0,6,6,6
7229,6,6,6,6,5,0,0,6,6,6
7230,6,6,6,6,5,0,0,6,6,6
7231,6,6,6,6,6,0,0,6,6,5
7232,6,6,6,6,6,0,0,6,6,6
7233,6,6,6,6,6,0,0,5,5,5
7234,6,4,4,5,4,3,2,6,6,6
7235,6,4,2,2,4,4,0,3,2,2
7236,6,6,6,6,6,0,0,6,6,6
7237,6,6,6,6,6,1,0,6,6,6
7238,6,6,5,6,2,0,0,6,6,6
7239,6,6,6,6,6,0,0,6,6,6
7240,6,6,2,4,6,0,0,4,6,6
7241,6,6,4,6,5,0,0,4,5,6
7242,6,6,6,6,4,0,0,6,4,4
7243,6,6,6,6,6,0,0,6,6,6
7244,6,6,6,6,4,0,2,6,6,6
7245,6,6,4,5,6,1,0,3,5,6
7246,6,6,6,6,4,2,1,5,5,2
7247,6,6,6,6,6,0,0,5,6,6
7248,6,6,6,6,6,0,0,6,6,6
7249,6,4,1,4,5,6,6,4,5,3
7250,6,6,6,6,6,0,0,6,6,6
7251,6,6,6,6,6,0,0,6,4,6
7252,6,6,6,4,4,0,0,6,4,4
7253,6,6,4,6,4,0,0,6,4,2
7254,6,6,4,6,6,0,0,6,6,6
7255,6,6,6,6,6,0,0,6,6,6
7256,6,6,6,6,6,0,0,6,6,6
7257,6,6,6,6,6,0,0,6,6,6
7258,6,6,0,6,6,2,2,6,4,4
7259,6,6,6,6,6,5,0,6,6,6
7260,6,,,,,,,,,
7261,6,6,4,6,4,2,2,4,2,2
7262,6,5,4,4,4,1,3,4,2,2
7263,6,5,5,5,3,1,1,6,5,3
7264,6,,,,,,,,,
7265,6,6,4,6,4,0,0,6,4,4
7266,6,6,5,6,5,0,1,6,6,5
7267,6,6,6,6,6,0,0,6,6,6
7268,6,6,6,6,6,1,0,6,6,6
7269,6,6,6,6,6,4,1,6,6,6
7270,6,6,6,6,5,0,0,6,6,6
7271,6,6,5,6,6,0,1,6,6,5
7272,6,6,6,6,6,0,0,6,6,6
7273,6,6,6,6,6,0,0,6,4,4
7274,6,6,6,5,6,0,1,6,6,6
7275,6,6,6,6,6,0,0,6,6,6
7276,6,6,6,6,6,0,0,6,6,6
7277,6,6,6,6,6,0,0,4,6,6
7278,6,4,4,2,4,4,2,2,2,2
7279,6,6,4,6,6,6,4,6,6,4
7280,6,5,4,6,6,2,0,6,6,6
7281,6,6,4,6,2,0,0,4,4,4
7282,6,6,5,6,5,0,0,5,6,5
7283,6,6,6,6,6,2,0,6,6,6
7284,6,6,4,6,6,0,0,6,6,6
7285,6,6,0,6,4,4,4,6,6,6
7286,6,6,6,6,6,0,0,6,6,6
7287,6,6,6,6,6,0,0,6,6,6
7288,6,6,6,6,6,0,0,6,6,6
7289,6,6,6,6,6,0,0,6,6,6
7290,6,6,6,6,6,0,0,6,6,6
7291,6,6,6,6,6,0,0,4,4,5
7292,6,6,6,6,6,0,0,6,6,6
7293,6,4,6,5,0,4,4,6,6,6
7294,6,6,6,6,6,0,0,6,6,6
7295,6,6,6,6,6,2,0,6,6,6
7296,6,6,6,5,6,0,0,6,4,5
7297,6,6,6,6,6,0,0,6,6,6
7298,6,6,6,6,6,0,0,6,6,6
7299,6,6,3,4,6,0,0,5,6,5
7300,6,6,0,6,6,0,0,6,6,6
7301,6,6,6,6,6,0,0,6,6,6
7302,6,6,6,6,6,1,1,5,5,5
7303,6,5,5,6,6,1,1,6,5,4
7304,6,6,4,6,6,0,0,6,6,5
7305,6,6,4,6,6,0,0,6,6,6
7306,6,6,6,6,6,0,0,6,6,6
7307,6,6,5,5,6,0,0,6,5,6
7308,6,6,4,6,6,0,0,6,6,6
7309,6,5,4,4,6,0,0,4,6,6
7310,6,6,4,4,6,0,0,6,6,6
7311,6,6,3,5,6,0,3,6,6,4
7312,6,6,6,6,6,0,0,6,6,5
7313,6,6,4,5,4,2,3,4,4,5
7314,6,6,4,6,6,1,1,6,6,6
7315,6,6,6,6,4,2,0,6,4,4
7316,6,6,6,5,2,1,1,3,6,6
7317,6,6,6,6,4,3,0,6,6,6
7318,6,6,6,6,6,0,0,6,6,6
7319,6,6,6,6,6,0,0,6,5,5
7320,6,6,5,6,6,0,0,6,4,5
7321,6,6,6,6,6,0,0,6,6,6
7322,6,6,0,5,6,0,0,6,6,6
7323,6,6,6,6,6,6,0,6,6,6
7324,6,6,6,6,6,0,0,6,6,6
7325,6,6,6,6,6,0,0,6,6,6
7326,6,6,6,6,6,0,0,6,6,6
7327,6,5,5,5,6,1,2,6,4,3
7328,6,5,5,5,6,0,0,6,5,5
7329,6,6,4,4,5,0,0,5,5,5
7330,6,6,5,6,4,0,1,5,5,5
7331,6,6,6,6,6,0,0,4,6,6
7332,6,6,6,6,6,0,0,4,6,4
7333,6,6,6,6,6,0,0,6,6,5
7334,6,6,2,6,6,0,0,6,6,6
7335,6,6,4,6,2,0,0,4,4,2
7336,6,6,6,6,6,1,0,6,6,6
7337,6,3,2,3,0,0,4,6,3,3
7338,6,6,5,6,6,1,1,6,6,4
7339,6,6,6,6,6,0,0,6,4,6
7340,6,6,2,4,6,0,0,6,6,6
7341,6,6,6,6,6,0,0,6,6,6
7342,6,6,6,6,6,6,4,6,6,6
7343,6,6,4,6,6,0,0,6,6,6
7344,6,6,6,6,6,0,0,6,6,6
7345,6,6,4,6,6,0,0,6,6,6
7346,6,6,5,6,6,0,0,6,6,6
7347,6,2,0,5,0,6,5,4,4,3
7348,6,6,4,6,5,0,0,5,5,5
7349,6,6,6,6,5,6,3,6,4,3
7350,6,5,6,5,4,2,1,6,5,5
7351,6,6,5,5,3,0,1,6,4,6
7352,6,6,6,6,6,0,0,6,6,6
7353,6,6,6,6,6,3,0,6,6,6
7354,6,6,6,6,6,0,0,6,6,6
7355,6,6,6,6,6,0,0,6,6,6
7356,6,5,3,4,5,4,2,6,2,4
7357,6,6,6,6,5,0,0,6,6,6
7358,6,5,5,5,5,0,1,6,5,5
7359,6,6,6,6,6,0,0,6,6,6
7360,6,1,0,3,3,0,2,1,2,3
7361,6,,,,,,,,,
7362,6,6,4,6,6,0,0,6,6,6
7363,6,6,6,6,6,4,0,6,6,6
7364,6,6,6,6,6,0,0,6,6,6
7365,6,6,6,6,5,2,0,6,6,6
7366,6,6,6,6,6,0,0,6,6,6
7367,6,6,4,6,5,0,1,6,5,4
7368,6,6,6,6,6,0,0,6,6,6
7369,6,6,6,6,6,0,0,6,6,6
7370,6,4,3,3,3,0,4,3,2,3
7371,6,6,4,6,4,0,2,3,5,3
7372,6,6,5,6,6,0,2,6,6,6
7373,6,6,3,6,6,0,0,6,6,6
7374,6,6,6,6,6,0,0,6,6,6
7375,6,6,4,6,4,2,2,4,6,6
7376,6,6,6,6,6,1,0,6,4,4
7377,6,6,5,6,6,1,1,5,4,4
7378,6,6,6,6,6,0,0,6,6,6
7379,6,6,6,6,6,1,1,6,6,6
7380,6,6,4,6,6,6,0,6,6,2
7381,6,6,6,6,6,4,0,6,4,6
7382,6,5,2,5,6,0,0,5,2,3
7383,6,5,3,6,4,1,1,6,3,3
7384,6,2,0,6,0,5,5,0,1,1
7385,6,6,6,6,5,4,0,6,6,5
7386,6,6,6,6,3,2,2,6,6,0
7387,6,6,6,6,6,0,0,6,6,6
7388,6,6,3,5,5,0,2,5,4,2
7389,6,6,6,6,6,0,0,6,6,6
