ID,wave,crs01,crs02,crs04,crs06,crs16,crs22,crs24,crs25,crs27
7100,6,4,2,4,4,4,2,4,4,2
7101,6,5,4,5,4,4,2,4,4,4
7102,6,6,5,6,6,5,2,5,3,3
7103,6,4,4,4,5,4,4,5,4,4
7104,6,6,6,6,6,0,0,6,6,6
7105,6,6,6,6,6,0,0,6,6,6
7106,6,5,5,5,4,0,0,6,6,5
7107,6,6,4,6,4,0,0,4,4,4
7108,6,6,6,5,4,4,1,6,6,5
7109,6,6,6,6,5,0,0,6,5,6
7110,6,6,4,5,6,0,0,5,5,5
7111,6,6,5,6,4,0,0,6,6,6
7112,6,6,6,6,6,1,3,3,3,3
7113,6,6,6,6,6,0,0,6,6,6
7114,6,6,5,6,5,0,0,6,6,6
7115,6,6,6,6,6,0,0,6,6,6
7116,6,6,6,6,6,0,0,6,0,6
7117,6,6,6,6,6,0,0,6,6,6
7118,6,6,6,6,6,0,0,6,6,6
7119,6,0,0,1,0,2,1,3,1,1
7120,6,6,5,6,5,0,0,5,5,5
7121,6,6,6,6,6,4,0,6,6,6
7122,6,-444,0,0,2,0,0,0,0,0
7123,6,6,6,6,6,0,0,6,6,6
7124,6,6,6,5,3,0,0,6,6,6
7125,6,6,6,6,6,0,0,6,6,6
7126,6,6,6,6,6,0,0,6,6,6
7127,6,6,6,6,6,0,0,6,6,6
7128,6,6,4,6,6,0,1,6,6,4
7129,6,6,5,6,6,0,0,6,5,5
7130,6,6,6,6,6,0,0,6,6,6
7131,6,3,2,2,2,3,5,4,4,5
7132,6,6,5,6,4,5,2,4,4,4
7133,6,4,3,4,6,1,0,2,5,6
7134,6,6,3,6,6,2,5,4,4,5
7135,6,6,6,6,6,0,0,6,6,6
7136,6,6,4,6,6,0,0,6,6,6
7137,6,6,6,6,4,0,0,6,2,4
7138,6,5,5,5,3,1,3,5,5,5
7139,6,6,6,6,6,0,0,6,6,6
7140,6,6,6,6,6,0,0,6,6,6
7141,6,6,6,6,6,0,4,6,6,6
7142,6,6,6,4,1,0,0,4,6,4
7143,6,6,5,6,6,0,0,6,6,6
7144,6,6,6,6,6,0,0,6,6,6
7145,6,6,6,6,6,0,0,6,6,6
7146,6,6,5,6,5,0,0,6,6,6
7147,6,6,4,2,4,2,2,4,0,0
7148,6,6,6,6,6,0,0,6,6,6
7149,6,6,6,6,6,0,0,6,6,6
7150,6,6,6,6,6,0,0,6,6,6
7151,6,6,6,6,6,0,0,6,6,6
7152,6,6,4,6,6,0,0,6,6,6
7153,6,6,4,6,6,0,0,5,6,6
7154,6,6,3,5,5,0,0,4,2,3
7155,6,6,3,6,5,0,0,3,3,4
7156,6,6,6,5,6,0,0,6,5,5
7157,6,6,5,6,6,0,0,6,6,6
7158,6,6,6,6,6,6,0,6,4,4
