ID,wave,study_condition,crs01,crs02,crs04,crs06,crs16,crs22,crs24,crs25,crs27
7226,1,3,6,4,6,4,6,0,6,6,6
7227,1,3,6,6,6,6,0,0,6,6,6
7228,1,1,6,6,6,4,2,4,6,6,6
7229,1,1,6,6,6,6,6,0,6,5,4
7230,1,2,6,6,6,4,0,0,6,6,6
7231,1,2,6,4,6,6,2,0,4,6,4
7232,1,2,6,5,6,6,0,2,6,6,5
7233,1,2,6,6,6,4,0,0,6,6,6
7234,1,4,6,5,4,5,0,0,6,6,5
7235,1,4,6,5,6,6,6,0,4,5,4
7236,1,4,6,6,6,6,0,0,6,6,6
7237,1,4,4,4,4,4,0,0,4,4,4
7238,1,4,6,6,6,6,2,1,6,4,5
7239,1,4,6,6,6,6,0,0,6,6,3
7240,1,1,6,6,6,4,0,0,6,6,6
7241,1,1,6,6,6,6,0,0,6,6,6
7242,1,3,6,-888,6,6,-888,-888,6,-888,-888
7243,1,3,6,6,6,6,0,0,0,6,6
7244,1,1,6,5,5,6,0,0,6,6,4
7245,1,1,6,6,6,5,2,1,6,6,6
7246,1,1,6,6,6,6,0,0,6,6,6
7247,1,1,6,6,6,4,0,0,4,6,6
7248,1,4,6,6,6,6,0,0,6,6,6
7249,1,4,6,6,6,6,0,0,6,6,6
7250,1,2,6,6,6,6,0,0,4,6,6
7251,1,2,6,6,6,6,6,4,6,6,6
7252,1,2,6,6,6,6,2,0,6,6,6
7253,1,2,6,6,6,6,0,0,6,6,6
7254,1,3,5,6,5,6,0,0,6,6,6
7255,1,3,6,6,6,6,4,0,6,4,0
7256,1,1,6,6,6,6,0,0,6,6,6
7257,1,1,6,6,6,6,0,0,6,6,6
7258,1,4,6,4,6,4,0,0,6,6,6
7259,1,4,6,6,4,6,2,4,6,6,6
7260,1,1,6,2,6,6,0,2,6,6,4
7261,1,1,6,6,6,3,0,0,6,6,6
7262,1,4,6,6,6,6,0,0,6,6,6
7263,1,4,6,6,6,6,0,0,6,6,6
7264,1,4,6,6,6,6,0,0,6,6,6
7265,1,4,6,6,6,6,0,0,6,6,6
7266,1,4,6,6,6,6,0,0,6,6,6
7267,1,4,6,6,6,6,0,0,6,6,6
7268,1,4,6,6,6,6,0,0,6,6,6
7269,1,4,6,6,6,6,1,0,6,6,6
7270,1,2,6,6,6,6,2,0,6,6,6
7271,1,2,4,6,6,6,0,0,4,4,4
7272,1,4,6,6,6,6,5,0,6,6,5
7273,1,4,6,6,6,6,2,0,6,6,4
7274,1,1,6,6,6,6,0,0,6,6,6
7275,1,1,6,6,6,6,0,0,6,6,-666
7276,1,3,6,6,6,6,1,0,6,5,5
7277,1,3,6,6,6,5,6,0,6,5,5
7278,1,4,6,3,4,6,1,2,6,6,5
7279,1,4,6,5,6,6,6,1,6,6,6
7280,1,1,6,6,6,6,0,0,4,6,4
7281,1,1,6,6,6,6,0,0,6,6,6
7282,1,3,6,6,6,6,0,0,5,6,6
