ID,wave,crs01,crs02,crs04,crs06,crs16,crs22,crs24,crs25,crs27
7236,4,6,6,6,6,0,0,3,6,5
7237,4,6,5,5,6,1,0,6,5,4
7238,4,6,4,6,6,2,0,4,3,4
7239,4,6,6,4,6,0,0,6,6,6
7240,4,6,6,6,6,4,0,5,6,6
7241,4,6,4,4,4,0,0,2,4,4
7242,4,4,4,4,6,0,0,6,4,5
7243,4,6,6,6,6,0,0,6,6,6
7244,4,6,6,6,6,0,0,6,6,6
7245,4,6,4,6,1,0,0,6,6,5
7246,4,6,6,6,6,0,0,6,4,6
7247,4,6,5,5,6,0,0,6,6,6
7248,4,6,6,6,6,0,0,6,6,6
7249,4,5,6,6,6,0,0,6,6,6
7250,4,6,6,6,6,0,0,6,6,6
7251,4,6,5,6,6,0,0,6,6,4
7252,4,6,4,6,6,1,1,5,6,5
7253,4,6,5,5,6,0,0,6,6,6
7254,4,5,5,5,6,2,0,6,5,6
7255,4,4,0,4,2,0,2,0,2,0
7256,4,5,6,5,6,0,0,6,6,6
7257,4,6,6,6,6,0,0,6,6,6
7258,4,6,6,6,4,0,0,6,5,5
7259,4,6,0,6,6,0,0,6,6,6
7260,4,2,1,4,4,0,1,4,5,4
7261,4,-999,-999,-999,-999,-999,-999,-999,-999,-999
7262,4,6,4,6,6,0,0,6,6,6
7263,4,6,4,6,4,0,2,6,4,2
7264,4,6,4,4,6,2,0,6,6,6
7265,4,6,6,6,4,0,1,6,5,4
7266,4,6,5,5,6,0,0,5,6,6
7267,4,6,6,6,6,0,0,6,6,6
7268,4,5,2,6,4,2,4,2,5,5
7269,4,5,4,6,5,1,1,5,5,6
7270,4,6,4,6,6,0,0,6,6,6
7271,4,6,6,6,6,2,0,6,6,6
7272,4,6,6,6,4,2,0,6,6,6
7273,4,6,6,6,4,0,0,6,6,5
7274,4,6,5,6,6,0,0,6,6,6
7275,4,6,6,6,6,0,0,6,6,6
7276,4,6,6,6,6,0,0,6,6,6
7277,4,6,6,6,6,0,0,6,6,6
7278,4,6,6,6,6,4,4,6,4,4
7279,4,6,6,6,6,5,0,6,6,5
7280,4,5,4,5,4,4,3,4,3,4
7281,4,6,6,6,6,0,0,6,6,6
7282,4,6,2,6,6,0,0,5,4,5
7283,4,-999,-999,-999,-999,-999,-999,-999,-999,-999
7284,4,6,5,6,6,0,0,6,4,5
7285,4,6,5,6,5,2,0,6,5,6
7286,4,6,6,6,6,0,0,6,6,6
7287,4,6,4,6,6,0,0,6,6,6
7288,4,6,6,6,6,2,2,5,5,6
7289,4,6,6,6,6,0,1,5,5,6
7290,4,6,5,6,6,0,1,6,6,4
7291,4,6,6,6,6,0,0,6,6,6
7292,4,6,6,6,6,1,0,6,6,6
7293,4,6,6,6,6,0,0,6,6,6
7294,4,6,6,6,4,0,0,6,6,6
7295,4,6,6,6,4,0,0,6,6,6
7296,4,6,6,6,6,0,0,6,6,6
7297,4,6,4,6,6,0,0,0,6,4
7298,4,2,4,6,2,2,2,4,4,4
7299,4,6,6,6,6,4,2,6,6,6
7300,4,3,3,6,6,1,6,6,3,3
7301,4,4,2,4,4,2,2,4,4,4
7302,4,6,6,6,6,0,1,6,6,6
7303,4,6,0,6,0,6,0,4,6,6
7304,4,5,6,6,6,0,0,6,6,3
7305,4,6,6,6,6,0,0,6,6,6
7306,4,6,6,6,6,0,0,6,6,6
7307,4,6,6,6,6,2,0,6,6,6
7308,4,6,6,6,6,0,0,6,6,6
7309,4,6,6,6,4,0,0,4,4,4
